#discovered_by = chinese
#discovered_by = tech_gensokyan
owner = SWK
controller = SWK
religion = th_moriyashinto
is_city = yes
culture = th_moriyajin_culture
base_tax = 5
base_production = 5
base_manpower = 4
trade_goods = incense
add_province_triggered_modifier = th_religious_center
add_province_triggered_modifier = TH_Moriya_Shrine_Holy_Site
add_province_triggered_modifier = TH_Moriya_Shrine_Controlled_By_Hakurei
add_province_triggered_modifier = Important_regional_center
add_core = SWK
temple = yes
