# Player modifiers
th_heroic_mode_player = {
	all_power_cost = 0.1
	danmaku_power_constant = -0.5
}

th_mythic_mode_player = {
	all_power_cost = 0.5
	danmaku_power_constant = -1.0
}

th_lunatic_mode_player = {
	all_power_cost = 0.2
	danmaku_power_constant = -1.5
}


##################################################################################################
# Modifiers for the different difficulty modes
##################################################################################################
heroic_th_agressive_ai_buff_against_dev_100 = {
	global_tax_modifier = 0.01
	interest = -0.02
	war_exhaustion = -0.002
	land_attrition = -0.003
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.003
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.05
	discipline = 0.001
	ship_durability = 0.001
	global_trade_power = 0.003
}
heroic_th_agressive_ai_buff_against_dev_110 = {
	global_tax_modifier = 0.011
	interest = -0.022
	war_exhaustion = -0.002
	land_attrition = -0.004
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.004
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.055
	discipline = 0.001
	ship_durability = 0.001
	global_trade_power = 0.003
}
heroic_th_agressive_ai_buff_against_dev_120 = {
	global_tax_modifier = 0.012
	interest = -0.024
	war_exhaustion = -0.002
	land_attrition = -0.004
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.004
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.06
	discipline = 0.001
	ship_durability = 0.001
	global_trade_power = 0.004
}
heroic_th_agressive_ai_buff_against_dev_130 = {
	global_tax_modifier = 0.013
	interest = -0.026
	war_exhaustion = -0.003
	land_attrition = -0.004
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.004
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.065
	discipline = 0.001
	ship_durability = 0.001
	global_trade_power = 0.004
}
heroic_th_agressive_ai_buff_against_dev_140 = {
	global_tax_modifier = 0.014
	interest = -0.028
	war_exhaustion = -0.003
	land_attrition = -0.005
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.005
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.07
	discipline = 0.001
	ship_durability = 0.001
	global_trade_power = 0.004
}
heroic_th_agressive_ai_buff_against_dev_150 = {
	global_tax_modifier = 0.015
	interest = -0.03
	war_exhaustion = -0.003
	land_attrition = -0.005
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.005
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.075
	discipline = 0.002
	ship_durability = 0.002
	global_trade_power = 0.005
}
heroic_th_agressive_ai_buff_against_dev_160 = {
	global_tax_modifier = 0.016
	interest = -0.032
	war_exhaustion = -0.003
	land_attrition = -0.005
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.005
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.08
	discipline = 0.002
	ship_durability = 0.002
	global_trade_power = 0.005
}
heroic_th_agressive_ai_buff_against_dev_170 = {
	global_tax_modifier = 0.017
	interest = -0.034
	war_exhaustion = -0.003
	land_attrition = -0.006
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.006
